,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
299,20MICRONS,EQ,28.8,28.8,27.1,28.45,28.65,28.6,13277,374878.65,22-03-2016,187,INE144J01027
300,20MICRONS,EQ,28.75,29.3,25.35,26.35,26,28.1,215398,5692047.05,21-01-2016,966,INE144J01027
301,20MICRONS,EQ,37.55,37.55,36.25,36.7,36.7,36.65,169046,6215400.05,14-09-2016,211,INE144J01027
302,20MICRONS,EQ,37.5,38.8,36.05,36.3,36.25,38.2,141885,5249684.6,01-09-2016,643,INE144J01027
303,20MICRONS,EQ,42.8,42.8,38.1,39,38.8,35.7,1144140,45698974.5,09-08-2016,6028,INE144J01027
304,20MICRONS,EQ,39.5,40.6,38,39,39.25,39,247153,9716326.75,20-10-2016,875,INE144J01027
305,20MICRONS,EQ,38.2,40.95,38.15,39.95,40,38.5,410633,16311544.7,28-10-2016,2604,INE144J01027
306,20MICRONS,EQ,29.7,29.7,28.5,28.85,28.9,29.3,25966,751601.85,01-08-2016,196,INE144J01027
307,20MICRONS,EQ,32.45,32.75,31.6,32.15,32.3,31.85,22063,711166.4,27-12-2016,196,INE144J01027
308,20MICRONS,EQ,29.3,29.7,28.7,28.8,28.75,29.3,13332,386543.4,22-06-2016,111,INE144J01027
309,20MICRONS,EQ,33.5,33.5,32.05,32.6,32.8,32.35,47197,1535098.75,22-11-2016,381,INE144J01027
310,20MICRONS,EQ,27.8,27.8,26.1,26.65,26.55,26.9,50312,1345021.35,22-02-2016,115,INE144J01027
311,20MICRONS,EQ,37.2,38.25,37,37.55,37.5,37.55,178696,6721453.45,09-09-2016,296,INE144J01027
312,20MICRONS,EQ,32.2,33.3,32.15,32.4,32.7,33,27303,888744.9,22-04-2016,224,INE144J01027
313,20MICRONS,EQ,26.8,27.65,26.8,27.3,27.2,26.9,16716,455327.75,29-01-2016,96,INE144J01027
314,20MICRONS,EQ,32.4,32.4,31.5,32,31.7,32,18833,604261.45,05-05-2016,116,INE144J01027
315,20MICRONS,EQ,32.35,33.5,31.55,32.9,32.8,31.75,36840,1198964.15,10-05-2016,198,INE144J01027
316,20MICRONS,EQ,37.6,37.75,36.6,36.95,37.2,37.45,218574,8121389.25,06-09-2016,451,INE144J01027
317,20MICRONS,EQ,27.9,28,27.4,27.5,27.45,27.3,22826,630292.3,30-03-2016,60,INE144J01027
318,20MICRONS,EQ,40,40,38.05,38.5,38.45,39.65,118158,4587081.7,27-10-2016,683,INE144J01027
319,20MICRONS,EQ,32.6,33.2,31.9,32.35,32.25,32.15,44610,1463715.25,28-12-2016,189,INE144J01027
320,20MICRONS,EQ,29.6,31,29.6,30.35,30.2,29.8,26244,798979,05-07-2016,159,INE144J01027
321,20MICRONS,EQ,26.25,26.5,25,25.45,25.95,26.2,17346,452440.15,25-02-2016,109,INE144J01027
322,20MICRONS,EQ,29.55,29.55,28.5,28.65,28.6,29.25,14699,424375.45,18-07-2016,141,INE144J01027
323,20MICRONS,EQ,36.4,36.4,35.5,35.7,35.75,35.65,91455,3274421.55,30-11-2016,233,INE144J01027
324,20MICRONS,EQ,35.5,36,34.3,35.45,35.5,34.7,106054,3771218.05,25-11-2016,618,INE144J01027
325,20MICRONS,EQ,30.4,30.4,29.65,29.7,29.65,29.6,26432,788213.2,30-06-2016,149,INE144J01027
326,20MICRONS,EQ,35,35.1,34,34.6,34.55,34.6,27107,938321.3,20-12-2016,138,INE144J01027
327,20MICRONS,EQ,33.4,33.45,32.5,32.5,32.5,33.15,10195,335566.95,17-05-2016,58,INE144J01027
328,20MICRONS,EQ,31.75,32.35,31.4,32,32.35,31.7,13288,422933,02-05-2016,65,INE144J01027
329,20MICRONS,EQ,32.5,32.8,32,32.25,32.35,32.4,18081,584973.15,25-04-2016,115,INE144J01027
330,20MICRONS,EQ,40,45,39.2,39.85,39.5,39.6,1738322,70595710.6,12-08-2016,4878,INE144J01027
331,20MICRONS,EQ,34.9,34.9,33.7,34.05,33.9,34.6,17079,585682.05,21-12-2016,109,INE144J01027
332,20MICRONS,EQ,34.75,34.95,33.25,34.7,34.5,34.35,42915,1469368.65,24-11-2016,357,INE144J01027
333,20MICRONS,EQ,28.7,28.95,28,28.65,28.55,29.4,17643,500209.6,24-06-2016,126,INE144J01027
334,20MICRONS,EQ,28.75,29.65,28,28.5,28.45,28.65,15281,434080.8,19-07-2016,162,INE144J01027
335,20MICRONS,EQ,26.1,26.25,25.8,26.2,26.2,26.55,10534,275042.35,24-02-2016,52,INE144J01027
336,20MICRONS,EQ,31.55,34.8,31.4,32.6,32.4,32,43985,1448913,03-05-2016,341,INE144J01027
337,20MICRONS,EQ,33.45,33.9,32.75,33.15,32.85,32.7,40146,1328979.9,16-05-2016,140,INE144J01027
338,20MICRONS,EQ,28,28,27.15,27.3,27.15,27.55,16225,448460.8,27-01-2016,162,INE144J01027
339,20MICRONS,EQ,27.8,28.95,27.75,28.15,28.05,27.5,14623,415058.35,31-03-2016,114,INE144J01027
340,20MICRONS,EQ,36.95,38,36.2,36.65,36.6,37.55,154505,5705744.75,12-09-2016,348,INE144J01027
341,20MICRONS,EQ,37.9,38.45,34.4,37.45,37.45,36.95,200703,7526036.1,07-09-2016,608,INE144J01027
342,20MICRONS,EQ,30.45,30.5,29,30,29.95,29.9,30012,899571.95,11-07-2016,203,INE144J01027
343,20MICRONS,EQ,30.5,30.5,29.65,29.8,29.8,30.05,22863,686019.7,04-07-2016,137,INE144J01027
344,20MICRONS,EQ,31.9,32.75,31.9,32.3,32.3,32.35,15567,503604.85,29-12-2016,173,INE144J01027
345,20MICRONS,EQ,38.8,40.95,38.8,39.65,39.7,39.6,385166,15480442.55,26-10-2016,917,INE144J01027
346,20MICRONS,EQ,27.5,27.5,26.35,26.55,26.5,26.65,4840,130225.75,23-02-2016,67,INE144J01027
347,20MICRONS,EQ,29.45,30.4,28.5,29.4,29.25,28.8,20064,589324.5,23-06-2016,125,INE144J01027
348,20MICRONS,EQ,34.25,35,33,34.35,34.4,32.6,49632,1684907.95,23-11-2016,344,INE144J01027
349,20MICRONS,EQ,33.4,33.4,31.75,31.85,31.85,33.7,57536,1848750.2,26-12-2016,364,INE144J01027
350,20MICRONS,EQ,32.5,33.75,31.2,31.7,32,32.9,20810,663360,11-05-2016,286,INE144J01027
351,20MICRONS,EQ,32.8,32.8,31.65,32,32.4,32.6,34126,1099162.95,04-05-2016,190,INE144J01027
352,20MICRONS,EQ,27.5,27.5,26.7,26.9,26.7,27.3,65673,1784061.25,28-01-2016,187,INE144J01027
353,20MICRONS,EQ,36.8,38.15,36.5,37.55,37.85,37.45,186388,6976248.4,08-09-2016,419,INE144J01027
354,20MICRONS,EQ,37.2,37.45,36.35,36.65,36.7,36.7,54444,2003841.8,15-09-2016,268,INE144J01027
355,20MICRONS,EQ,28.65,28.8,28.1,28.45,28.6,28.45,2890,82143.8,23-03-2016,45,INE144J01027
356,20MICRONS,EQ,29.7,30,27,28.1,28.15,29.2,37853,1071675.1,20-01-2016,309,INE144J01027
357,20MICRONS,EQ,32.8,32.8,32.1,32.6,32.6,32.75,21953,712936.15,19-05-2016,137,INE144J01027
358,20MICRONS,EQ,39.2,42,38.85,39.45,39.2,39,830582,33538838.15,21-10-2016,2667,INE144J01027
359,20MICRONS,EQ,30.3,35.8,29.7,35.7,35.8,29.85,321141,10835708.95,08-08-2016,1201,INE144J01027
360,20MICRONS,EQ,35.5,35.6,34.5,34.8,35.05,35.2,48310,1701516.2,07-12-2016,143,INE144J01027
361,20MICRONS,EQ,37.1,37.1,35.6,35.75,35.9,36.6,35574,1282547.7,12-12-2016,181,INE144J01027
362,20MICRONS,EQ,27.75,27.75,25.7,26.55,26.7,27.25,49061,1299475.3,17-02-2016,207,INE144J01027
